name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Asian Paints,4.3,(4.8k Reviews),Public,"Mumbai,Maharashtra + 328 more",80 years old,10k-50k Employees (India)
Lupin,4.2,(4.2k Reviews),Public,"Mumbai,Maharashtra + 127 more",54 years old,10k-50k Employees (India)
NTT DATA,4.1,(8k Reviews),Private,"Chiyoda City,Tokyo + 37 more",34 years old,10k-50k Employees (India)
Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 262 more",127 years old,1 Lakh+ Employees (India)
Udaan,4.2,(4k Reviews),Private,"Bangalore,Karnataka + 296 more",6 years old,10k-50k Employees (India)
EXL Service,3.9,(5k Reviews),Private,"New York City,New York + 32 more",23 years old,10k-50k Employees (India)
HDFC Life,4.1,(4k Reviews),Public,"Mumbai,Maharashtra + 392 more",22 years old,10k-50k Employees (India)
Home Credit Fina...,4.2,(3.9k Reviews),Private,Gurugram + 100 more,10 years old,10k-50k Employees (India)
L&T Infotech,3.9,(3.7k Reviews),Public,"Mumbai,Maharashtra + 78 more",26 years old,10k-50k Employees (India)
PwC,3.8,(3.7k Reviews),Partnership,London + 57 more,24 years old,5k-10k Employees (India)
Bajaj Finance,4.2,(3.6k Reviews),Private,"Pune,Maharashtra + 588 more",35 years old,10k-50k Employees (India)
Zydus Cadila,4.1,(4.7k Reviews),Public,"Ahmedabad, India + 131 more",70 years old,10k-50k Employees (India)
Hindustan Unilev...,4.3,(5.8k Reviews),Public,"Mumbai,Maharashtra + 342 more",89 years old,10k-50k Employees (India)
UltraTech Cement,4.3,(3.9k Reviews),Public,"Mumbai,Maharashtra + 324 more",39 years old,10k-50k Employees (India)
Ujjivan Small Fi...,4.1,(3.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 375 more",5 years old,10k-50k Employees (India)
ITC,3.9,(7.1k Reviews),Public,"Kolkata,West Bengal + 219 more",47 years old,10k-50k Employees (India)
Hewlett-Packard ...,4.3,(5k Reviews),Private,"Houston,Texas + 86 more",83 years old,10k-50k Employees (India)
OPPO,4.0,(3.7k Reviews),Public,"Dongguan,Guangdong + 307 more",18 years old,10k-50k Employees (India)
Paytm,3.7,(4.3k Reviews),Public,Noida + 228 more,12 years old,10k-50k Employees (India)
Shapoorji Pallon...,4.4,(5.2k Reviews),Private,"Mumbai,Maharashtra + 133 more",157 years old,5k-10k Employees (India)
IIFL,3.9,(3.4k Reviews),Public,"Mumbai,Maharashtra + 445 more",27 years old,5k-10k Employees (India)
KPMG,3.8,(3.4k Reviews),Partnership,New York + 49 more,35 years old,10k-50k Employees (India)
Mindtree,4.1,(3.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 24 more",23 years old,10k-50k Employees (India)
JP Morgan Chase,4.2,(3.3k Reviews),Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India)
Ashok Leyland,4.1,(4k Reviews),Public,"Chennai,Tamil Nadu + 184 more",74 years old,10k-50k Employees (India)
Shriram Transpor...,4.2,(5.2k Reviews),Public,"Mumbai,Maharashtra + 641 more",43 years old,10k-50k Employees (India)
Mahindra & Mahin...,4.3,(3.3k Reviews),Public,"Mumbai,Maharashtra + 545 more",31 years old,10k-50k Employees (India)
Sun Pharmaceutic...,4.1,(3.8k Reviews),Public,Mumbai + 139 more,39 years old,10k-50k Employees (India)
Intelenet Global...,3.7,(3.3k Reviews),Private,"Mumbai,Maharashtra + 56 more",22 years old,10k-50k Employees (India)
Aurobindo Pharma,4.1,(3.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 51 more",36 years old,1k-5k Employees (India)
Vivo,4.1,(3.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 321 more",13 years old,5k-10k Employees (India)
Apollo Hospitals,4.1,(5.1k Reviews),Public,"San Francisco,California + 162 more",39 years old,50k-1 Lakh Employees (India)
Reliance Communi...,4.0,(3.6k Reviews),Public,"Navi Mumbai,Maharashtra + 363 more",20 years old,10k-50k Employees (India)
Fidelity Nationa...,4.1,(3.3k Reviews),Private,"Jacksonville,Florida + 32 more",17 years old,10k-50k Employees (India)
