name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
IRB Infrastructu...,4.3,(331 Reviews),Public,"Mumbai,Maharashtra + 41 more",24 years old,1k-5k Employees (India)
Varun Motors,4.1,(330 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 19 more",29 years old,501-1k Employees (India)
Zydus Wellness,3.7,(330 Reviews),Public,Ahmedabad + 54 more,28 years old,501-1k Employees (India)
Kellogg,4.4,(330 Reviews),Private,"Battle Creek,Michigan + 49 more",116 years old,1k-5k Employees (India)
Ramky Enviro Eng...,4.1,(330 Reviews),Private,Hyderabad + 51 more,28 years old,10k-50k Employees (India)
ValueMomentum,3.7,(330 Reviews),Private,"Piscataway,New Jersey + 5 more",22 years old,1k-5k Employees (India)
GTL Infrastructu...,4.6,(330 Reviews),Public,"Mumbai,Maharashtra + 40 more",18 years old,1k-5k Employees (India)
Sintex-bapl,3.9,(330 Reviews),Public,Pune + 37 more,15 years old,501-1k Employees (India)
Medtronic,3.9,(337 Reviews),Private,"Mumbai,Maharashtra + 31 more",43 years old,1k-5k Employees (India)
KGISL,3.5,(329 Reviews),Private,"Coimbatore,Tamil Nadu + 4 more",26 years old,501-1k Employees (India)
Webhelp,4.2,(329 Reviews),Private,Paris + 7 more,22 years old,1k-5k Employees (India)
EaseMyTrip.com,4.4,(329 Reviews),Public,"Delhi,NCT + 7 more",14 years old,201-500 Employees (India)
Sterlite Power T...,4.0,(329 Reviews),"Delhi/NCR,Delhi + 43 more",12 years old,501-1k Employees (India),
First Flight Cou...,3.9,(328 Reviews),Private,"Mumbai,Maharashtra + 71 more",34 years old,1k-5k Employees (India)
Pearson Educatio...,4.1,(328 Reviews),Private,"Noida,Uttar Pradesh + 55 more",22 years old,1k-5k Employees (India)
Pamac Finserve,3.6,(328 Reviews),Private,"Mumbai,Maharashtra + 44 more",27 years old,501-1k Employees (India)
Apar Industries,3.8,(327 Reviews),Public,"Vadodara/Baroda,Gujarat + 32 more",64 years old,1k-5k Employees (India)
Hema Engineering...,3.6,(327 Reviews),Private,"Gurgaon/Gurugram,Haryana + 22 more",38 years old,201-500 Employees (India)
Nucleus Software...,4.0,(327 Reviews),Public,"Noida,Uttar Pradesh + 8 more",36 years old,1k-5k Employees (India)
Action Construct...,3.8,(327 Reviews),Public,"Delhi/NCR,New Delhi + 31 more",27 years old,1k-5k Employees (India)
ICFAI University,3.8,(327 Reviews),Private,"Dehradun,Uttarakhand + 59 more",19 years old,501-1k Employees (India)
Sterling Holiday...,3.9,(327 Reviews),Public,"Chennai,Tamil Nadu + 45 more",36 years old,1k-5k Employees (India)
RuralShores,4.2,(327 Reviews),Private,"Bangalore,Karnataka + 33 more",14 years old,1k-5k Employees (India)
Stock Holding Co...,3.9,(326 Reviews),Public,"Mumbai,Maharashtra + 78 more",36 years old,201-500 Employees (India)
Tecnimont,3.9,(326 Reviews),Private,"Mumbai,Maharashtra + 17 more",17 years old,1k-5k Employees (India)
Bharat Serums an...,4.0,(326 Reviews),Private,"Mumbai,Maharashtra + 34 more",51 years old,1k-5k Employees (India)
Exicom,3.9,(326 Reviews),Public,"Gurgaon,Haryana + 20 more",28 years old,501-1k Employees (India)
Ramada,3.9,(326 Reviews),Private,"Gurgaon/Gurugram,Haryana + 37 more",12 years old,201-500 Employees (India)
K12 Techno Servi...,3.3,(326 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 17 more",12 years old,1k-5k Employees (India)
TIAA Global Busi...,4.4,(326 Reviews),Private,"Manhattan,New York + 3 more",104 years old,1k-5k Employees (India)
Infinx,3.8,(325 Reviews),Private,"Mumbai,Maharashtra + 15 more",16 years old,1k-5k Employees (India)
NoBrokerHOOD,4.1,(325 Reviews),Pune + 17 more,501-1k Employees (India),,
MCM Telecom Equi...,3.8,(324 Reviews),Private,"Noida,Uttar Pradesh + 3 more",7 years old,501-1k Employees (India)
Hapag-Lloyd,4.2,(324 Reviews),Private,Hamburg + 7 more,175 years old,1k-5k Employees (India)
Lite Bite Foods,4.3,(324 Reviews),Private,"Gurgaon/Gurugram,Haryana + 17 more",21 years old,1k-5k Employees (India)
Khazana Jeweller...,3.9,(323 Reviews),Private,"Chennai,Tamil Nadu + 42 more",33 years old,201-500 Employees (India)
Maharashtra Stat...,4.5,(323 Reviews),Private,"Mumbai,Maharashtra + 58 more",17 years old,50k-1 Lakh Employees (India)
Centaur Pharmace...,4.0,(323 Reviews),Private,"Mumbai,Maharashtra + 38 more",44 years old,1k-5k Employees (India)
Omax Autos,3.5,(323 Reviews),Public,"Gurgaon/Gurugram,Haryana + 16 more",39 years old,1k-5k Employees (India)
Almarai,4.5,(323 Reviews),Private,"Riyadh,Central Province + 24 more",45 years old,501-1k Employees (India)
Magna Internatio...,3.9,(323 Reviews),Public,Aurora + 12 more,65 years old,1k-5k Employees (India)
Csc E Governance...,4.1,(323 Reviews),Public,"Delhi,NCT + 107 more",13 years old,201-500 Employees (India)
Supertech,4.0,(322 Reviews),Private,"Noida,Uttar Pradesh + 17 more",34 years old,1k-5k Employees (India)
Aequs,4.0,(322 Reviews),Private,"Belagavi/Belgaum,Karnataka + 5 more",25 years old,1k-5k Employees (India)
Forbes Marshall,4.3,(322 Reviews),Private,"Pune,Maharashtra + 18 more",97 years old,1k-5k Employees (India)
Hitachi Astemo,4.2,(322 Reviews),Neemrana + 16 more,201-500 Employees (India),,
PPG Asian Paints,4.1,(321 Reviews),Private,"Mumbai,Maharashtra + 44 more",25 years old,501-1k Employees (India)
Kantar IMRB,3.7,(321 Reviews),Private,"Mumbai,Maharashtra + 24 more",52 years old,1 Lakh+ Employees (India)
iMerit,4.2,(320 Reviews),Private,"Kolkata,West Bengal + 7 more",10 years old,1k-5k Employees (India)
ERA Group,3.5,(320 Reviews),Public,"Mumbai,Maharashtra + 36 more",32 years old,1k-5k Employees (India)
Updater Services,4.0,(320 Reviews),Private,"Chennai,Tamil Nadu + 39 more",37 years old,50k-1 Lakh Employees (India)
Visteon,3.8,(320 Reviews),Private,"Detroit,Michigan + 9 more",22 years old,1k-5k Employees (India)
Srei Equipment F...,4.5,(320 Reviews),Public,Kolkata + 75 more,33 years old,1k-5k Employees (India)
Colt Technology ...,4.3,(320 Reviews),Private,"London,England + 4 more",30 years old,1k-5k Employees (India)
Kaya Skin Clinic,4.0,(319 Reviews),Public,"Mumbai,Maharashtra + 34 more",19 years old,1k-5k Employees (India)
Kalyan Jewellers,4.0,(319 Reviews),Private,Thrissur + 73 more,29 years old,1k-5k Employees (India)
Balkrishna Indus...,4.3,(319 Reviews),Public,"Mumbai,Maharashtra + 8 more",35 years old,1k-5k Employees (India)
Trident Hotels,4.2,(318 Reviews),Private,New Delhi + 20 more,88 years old,1k-5k Employees (India)
Bharat Gears,4.1,(318 Reviews),Public,"Mumbai,Maharashtra + 15 more",50 years old,501-1k Employees (India)
Sona Koyo Steeri...,4.2,(318 Reviews),Private,"Gurgaon/Gurugram,Haryana + 14 more",38 years old,1k-5k Employees (India)
Molex,3.9,(318 Reviews),Private,"Lisle,Illinois + 8 more",84 years old,1k-5k Employees (India)
HighRadius,3.5,(318 Reviews),Private,"Houston,Texas + 2 more",16 years old,1k-5k Employees (India)
Jaypee Cement,4.1,(318 Reviews),Private,"Solan,Himachal Pradesh + 65 more",26 years old,1k-5k Employees (India)
Onward Technolog...,3.3,(318 Reviews),Public,"Eindhoven,North Brabant + 25 more",31 years old,201-500 Employees (India)
Hitachi,4.0,(4.3k Reviews),Private,"Delhi/NCR,New Delhi + 61 more",92 years old,1k-5k Employees (India)
MasterCard,4.3,(317 Reviews),Private,"Purchase,New York + 9 more",22 years old,1k-5k Employees (India)
Vijay Nirman Com...,4.0,(317 Reviews),Private,"Visakhapatnam/Vizag,Andhra Pradesh + 28 more",40 years old,5k-10k Employees (India)
Cpf India,4.2,(317 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 39 more",28 years old,501-1k Employees (India)
Agility Logistic...,4.2,(317 Reviews),Private,Sulaibiya + 36 more,43 years old,1k-5k Employees (India)
Keventer Agro,4.0,(317 Reviews),Private,Kolkata + 40 more,36 years old,1k-5k Employees (India)
Salcomp Manufact...,4.2,(316 Reviews),Private,Salo + 7 more,16 years old,501-1k Employees (India)
Triveni Engineer...,4.2,(316 Reviews),Public,"Mysore/Mysuru,Karnataka + 38 more",90 years old,5k-10k Employees (India)
Vestige,4.4,(316 Reviews),Private,"Delhi/NCR,Delhi + 81 more",18 years old,10k-50k Employees (India)
Karvy DigiKonnec...,3.1,(316 Reviews),Hyderabad + 16 more,7 years old,10k-50k Employees (India),
Canon,4.4,(326 Reviews),Private,"Ota City,Tokyo + 49 more",85 years old,1k-5k Employees (India)
Ziqitza Health C...,4.3,(315 Reviews),Public,"Mumbai,Maharashtra + 34 more",17 years old,5k-10k Employees (India)
Patel Engineerin...,4.0,(315 Reviews),Public,"Mumbai,Maharashtra + 34 more",73 years old,1k-5k Employees (India)
Pristyn Care,4.2,(315 Reviews),Private,"Delhi,NCT + 16 more",4 years old,1k-5k Employees (India)
Cigniti Technolo...,4.1,(314 Reviews),Public,"Irving,Texas + 4 more",24 years old,1k-5k Employees (India)
Jtekt Sona Autom...,4.2,(314 Reviews),Public,"Gurgaon/Gurugram,Haryana + 15 more",15 years old,51-200 Employees (India)
Cigniti Technolo...,4.1,(314 Reviews),Public,"Irving,Texas + 4 more",24 years old,1k-5k Employees (India)
Jiva Ayurvedic P...,3.8,(314 Reviews),Private,"Faridabad,Haryana + 34 more",30 years old,1k-5k Employees (India)
BankBazaar,3.5,(313 Reviews),Private,"Chennai,Tamil Nadu + 6 more",14 years old,501-1k Employees (India)
Dr. Batras' Posi...,3.6,(313 Reviews),Private,Mumbai + 74 more,40 years old,201-500 Employees (India)
Allied Digital S...,3.6,(313 Reviews),Public,"Mumbai,Maharashtra + 26 more",27 years old,1k-5k Employees (India)
Sanghi Industrie...,3.8,(313 Reviews),Public,"Ahmedabad,Gujarat + 19 more",37 years old,201-500 Employees (India)
Medica Superspec...,3.4,(313 Reviews),Private,"Kolkata,West Bengal + 17 more",14 years old,1k-5k Employees (India)
Nomura Holdings,3.9,(335 Reviews),Public,"Mumbai,Maharashtra + 5 more",13 years old,1k-5k Employees (India)
Siyaram Silk Mil...,4.1,(312 Reviews),Public,"Mumbai,Maharashtra + 28 more",44 years old,1k-5k Employees (India)
GlobalData,3.9,(312 Reviews),Private,London + 3 more,38 years old,1k-5k Employees (India)
Bunge India,4.0,(312 Reviews),Private,"Chesterfield,Missouri + 35 more",22 years old,1k-5k Employees (India)
Baker Hughes,4.2,(312 Reviews),Private,"Boston,Massachusetts + 32 more",6 years old,1k-5k Employees (India)
Doosan Power Sys...,4.0,(311 Reviews),Private,Crawley + 24 more,12 years old,501-1k Employees (India)
Competent Softwa...,3.8,(311 Reviews),Private,"Delhi/NCR,New Delhi + 6 more",30 years old,1k-5k Employees (Global)
IDEMIA,3.9,(311 Reviews),Private,"Courbevoie,Courbevoie + 22 more",5 years old,1k-5k Employees (India)
Pace Setters Bus...,3.6,(311 Reviews),Mumbai + 13 more,16 years old,201-500 Employees (India),
PrimEra Medical ...,3.5,(310 Reviews),Private,"Hyderabad/Secunderabad,Telangana",7 years old,1k-5k Employees (India)
Poly Medicure,3.6,(310 Reviews),Public,"Delhi/NCR,Delhi + 25 more",25 years old,1k-5k Employees (India)
Xavient Digital ...,3.9,(310 Reviews),Private,"Simi Valley,California + 5 more",20 years old,1k-5k Employees (India)
Aptech,3.7,(309 Reviews),Public,"Mumbai,Maharashtra + 62 more",36 years old,201-500 Employees (India)
BMC Software,4.5,(309 Reviews),Private,"Houston,Texas + 14 more",42 years old,1k-5k Employees (India)
Microtek Interna...,3.7,(309 Reviews),Private,"Delhi/NCR,Delhi + 54 more",42 years old,201-500 Employees (India)
Maini Precision ...,3.7,(309 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",49 years old,1k-5k Employees (India)
The Akshaya Patr...,4.3,(309 Reviews),NGO/NPO,"Bangalore/Bengaluru,Karnataka + 50 more",22 years old,1k-5k Employees (India)
TTK Healthcare,4.3,(309 Reviews),Public,"Chennai,Tamil Nadu + 59 more",94 years old,1k-5k Employees (India)
NJ India Invest,3.8,(309 Reviews),Private,Surat + 62 more,28 years old,1k-5k Employees (India)
Nykaa,3.6,(309 Reviews),Public,"Mumbai,Maharashtra + 33 more",10 years old,1k-5k Employees (India)
Gandhi Automatio...,4.1,(308 Reviews),Private,"Mumbai,Maharashtra + 14 more",26 years old,501-1k Employees (India)
Adani Enterprise...,4.1,(308 Reviews),Public,"Mumbai,Maharashtra + 37 more",34 years old,1k-5k Employees (India)
HIL,4.3,(308 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 44 more",76 years old,1k-5k Employees (India)
Hetero Healthcar...,3.9,(308 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 45 more",16 years old,501-1k Employees (India)
KFin Technologie...,3.8,(308 Reviews),"Hyderabad,Telangana + 18 more",19 years old,1k-5k Employees (India),
CWT,4.3,(308 Reviews),Private,Minnetonka + 10 more,28 years old,1k-5k Employees (India)
Efs Facilities S...,4.1,(308 Reviews),Private,"Dubai,Dubai + 33 more",16 years old,201-500 Employees (India)
CMC,4.2,(307 Reviews),Public,"Bhopal,Madhya Pradesh + 47 more",54 years old,10k-50k Employees (India)
RAK Ceramics,4.0,(307 Reviews),Private,"Ras Al Khaimah,Ras Al Khaimah + 38 more",33 years old,501-1k Employees (India)
Deloitte Touche ...,3.9,(307 Reviews),"Bangalore/Bengaluru,Karnataka + 20 more",12 years old,50k-1 Lakh Employees (India),
ACTE,4.8,(307 Reviews),"Chennai,Tamil Nadu + 9 more",11 years old,1-10 Employees (India),
VRL Logistics,4.1,(322 Reviews),Public,"Hubballi,Karnataka + 71 more",39 years old,10k-50k Employees (India)
Thermo Fisher Sc...,4.1,(314 Reviews),Private,"Waltham,Massachusetts + 22 more",66 years old,1k-5k Employees (India)
MagicBricks,3.5,(306 Reviews),Private,"Noida,Uttar Pradesh + 19 more",16 years old,501-1k Employees (India)
Ferrero,4.1,(306 Reviews),Private,"Pune,Maharashtra + 49 more",18 years old,501-1k Employees (India)
Top Office Pros ...,4.9,(306 Reviews),Pune + 5 more,11-50 Employees (India),,
PropTiger.com,4.1,(306 Reviews),Private,"Gurgaon,Haryana + 12 more",11 years old,51-200 Employees (India)
Ramboll,4.3,(305 Reviews),Private,"Copenhagen,Denmark + 21 more",16 years old,1k-5k Employees (India)
Hexagon Nutritio...,4.2,(305 Reviews),Private,"Mumbai,Maharashtra + 25 more",31 years old,501-1k Employees (India)
Kajaria Ceramics,4.2,(305 Reviews),Public,"Delhi/NCR,New Delhi + 46 more",37 years old,1k-5k Employees (India)
Hilti,3.9,(305 Reviews),Private,Schaan + 29 more,81 years old,501-1k Employees (India)
Triumphant Insti...,3.9,(305 Reviews),Private,Hyderabad + 63 more,30 years old,201-500 Employees (India)
L & W Constructi...,3.8,(305 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 15 more",16 years old,1k-5k Employees (India)
Gujarat Heavy Ch...,4.1,(305 Reviews),Public,"Noida,Uttar Pradesh + 20 more",39 years old,1k-5k Employees (India)
J K Fenner,3.7,(305 Reviews),Private,"Chennai,Tamil Nadu + 27 more",35 years old,201-500 Employees (India)
Fena,4.2,(305 Reviews),Private,"Delhi/NCR,Delhi + 54 more",46 years old,201-500 Employees (India)
Finastra,4.0,(305 Reviews),Private,"Toronto,Ontario + 10 more",5 years old,1k-5k Employees (India)
Shalby Hospitals,3.9,(326 Reviews),Public,"Ahmedabad,Gujarat + 15 more",28 years old,1k-5k Employees (India)
Amadeus,4.1,(304 Reviews),Private,Madrid + 12 more,10 years old,1k-5k Employees (India)
St. Xavier's Hig...,4.0,(304 Reviews),Private,"Mumbai,Maharashtra + 81 more",153 years old,1k-5k Employees (Global)
SKH Metals,3.8,(304 Reviews),Private,Gurgaon + 7 more,16 years old,1k-5k Employees (India)
Infrastructure L...,4.0,(304 Reviews),Private,Mumbai + 67 more,35 years old,501-1k Employees (India)
Soma Enterprises,4.2,(304 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 42 more",25 years old,1k-5k Employees (India)
Chandigarh Unive...,3.4,(303 Reviews),Private,"Mohali,Punjab + 29 more",10 years old,1k-5k Employees (India)
Bombardier Trans...,4.2,(303 Reviews),Private,"Montreal,Berlin + 12 more",27 years old,201-500 Employees (India)
Orient Electric,4.2,(303 Reviews),Public,"Delhi/NCR,Delhi + 36 more",68 years old,501-1k Employees (India)
Labournet Servic...,3.9,(303 Reviews),Private,"Bangalore,Karnataka + 41 more",16 years old,51-200 Employees (India)
CDK Global,4.1,(302 Reviews),Private,"Hoffman Estates,Illinois + 1 more",8 years old,1k-5k Employees (India)
Sarovar Hotels &...,4.1,(302 Reviews),Private,"Gurgaon/Gurugram,Haryana + 49 more",26 years old,1k-5k Employees (India)
N.C.L. Industrie...,4.0,(302 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 47 more",42 years old,501-1k Employees (India)
H & R Johnson,3.9,(302 Reviews),Private,Staffordshire + 58 more,26 years old,201-500 Employees (India)
Jayaswal Neco In...,4.2,(302 Reviews),Public,"Nagpur,Maharashtra + 20 more",50 years old,1k-5k Employees (India)
Maersk Line,4.4,(302 Reviews),Public,"Copenhagen,Copenhagen + 19 more",118 years old,501-1k Employees (India)
Brainvire,4.7,(301 Reviews),Private,"Plano,Texas + 5 more",22 years old,501-1k Employees (India)
Xceedance,4.0,(301 Reviews),Private,"Boston,Massachusetts + 6 more",9 years old,1k-5k Employees (India)
MothersonSumi IN...,3.3,(301 Reviews),Private,Noida + 11 more,22 years old,1k-5k Employees (India)
Aptiv,4.2,(306 Reviews),Private,Dublin + 17 more,28 years old,1k-5k Employees (India)
EdgeVerve System...,3.6,(300 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",8 years old,1k-5k Employees (India)
Emami Agrotech,3.8,(300 Reviews),Public,"Kolkata,West Bengal + 33 more",20 years old,1k-5k Employees (India)
Ness Technologie...,3.7,(300 Reviews),Private,"Teaneck,New Jersey + 8 more",24 years old,1k-5k Employees (India)
Prime Focus Tech...,3.5,(299 Reviews),Private,"Mumbai,Maharashtra + 11 more",14 years old,1k-5k Employees (India)
Okaya Power,3.7,(299 Reviews),Private,"Delhi/NCR,Delhi + 54 more",35 years old,1k-5k Employees (India)
Dr. Reddy's Foun...,4.1,(299 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 62 more",26 years old,501-1k Employees (India)
Aerial Telecom S...,3.6,(299 Reviews),Private,"Mohali,Punjab + 54 more",12 years old,501-1k Employees (India)
Deccan Fine Chem...,3.7,(299 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 10 more",14 years old,1k-5k Employees (India)
Descon Engineeri...,4.3,(298 Reviews),Private,Lahore + 17 more,45 years old,201-500 Employees (India)
QUICK HEAL TECHN...,3.7,(298 Reviews),Public,"Pune,Maharashtra + 34 more",29 years old,1k-5k Employees (India)
Coats,4.0,(298 Reviews),Private,Middlesex + 38 more,48 years old,501-1k Employees (India)
TCI Express,4.2,(298 Reviews),Public,Gurugram + 54 more,26 years old,1k-5k Employees (India)
eMids Technologi...,4.0,(298 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",23 years old,1k-5k Employees (India)
Hpl Electric & P...,3.5,(298 Reviews),Private,"Noida,Uttar Pradesh + 42 more",30 years old,1k-5k Employees (India)
Bristlecone,3.8,(298 Reviews),Private,"Pune,Maharashtra + 9 more",24 years old,1k-5k Employees (India)
Tata Internation...,4.1,(298 Reviews),Public,"Mumbai,Maharashtra + 32 more",60 years old,1k-5k Employees (India)
Shriram Value Se...,4.0,(479 Reviews),Private,"Chennai,Tamil Nadu + 26 more",16 years old,1k-5k Employees (India)
Audi,4.1,(308 Reviews),Private,"Ingolstadt,Bavaria + 46 more",113 years old,201-500 Employees (India)
Castrol,4.3,(297 Reviews),Public,"Pangbourne,Berkshire + 66 more",123 years old,1k-5k Employees (India)
PC Jewellers,3.7,(297 Reviews),Public,"Delhi/NCR,Delhi + 59 more",17 years old,1k-5k Employees (India)
National Informa...,4.3,(297 Reviews),Private,New Delhi + 38 more,46 years old,501-1k Employees (India)
Nephroplus,4.0,(297 Reviews),Private,Hyderabad + 62 more,13 years old,501-1k Employees (India)
Pyramid IT Consu...,3.8,(297 Reviews),Private,"Atlanta,Georgia + 19 more",26 years old,51-200 Employees (India)
Vasudha Pharma C...,4.3,(296 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 3 more",27 years old,1k-5k Employees (India)
Aegis Essar,3.6,(296 Reviews),"Mumbai,Maharashtra + 22 more",19 years old,5k-10k Employees (India),
STUP Consultants,4.0,(296 Reviews),Private,"Mumbai,Maharashtra + 38 more",59 years old,1k-5k Employees (India)
Lenovo,4.1,(375 Reviews),Private,Quarry Bay + 58 more,17 years old,1k-5k Employees (India)
ALLEN Career Ins...,4.1,(295 Reviews),Private,"Kota,Rajasthan + 36 more",34 years old,1k-5k Employees (India)
LIC Housing Fina...,3.9,(295 Reviews),Public,"Mumbai,Maharashtra + 92 more",33 years old,1k-5k Employees (India)
TCS eServe,3.9,(295 Reviews),Private,Mumbai + 30 more,15 years old,50k-1 Lakh Employees (India)
Maveric Systems,3.8,(295 Reviews),Public,"Chennai,Tamil Nadu + 5 more",22 years old,1k-5k Employees (India)
NCCCL,3.7,(295 Reviews),Private,"Mumbai,Maharashtra + 19 more",76 years old,1k-5k Employees (India)
Roop Polymers,4.0,(295 Reviews),Public,"Gurgaon/Gurugram,Haryana + 16 more",49 years old,501-1k Employees (India)
Shyam Steel Indu...,3.6,(295 Reviews),Private,"Kolkata,West Bengal + 26 more",69 years old,1k-5k Employees (India)
British Council,3.9,(294 Reviews),London + 18 more,88 years old,1k-5k Employees (India),
ADFC,4.0,(294 Reviews),Private,Mumbai + 38 more,28 years old,1 Lakh+ Employees (India)
Otsuka Pharmaceu...,4.0,(294 Reviews),Private,"Chiyoda City,Tokyo + 24 more",10 years old,201-500 Employees (India)
Satyam Auto Comp...,4.0,(294 Reviews),Private,"Ludhiana,Punjab + 16 more",21 years old,1k-5k Employees (India)
LG Soft India,3.7,(294 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",26 years old,1k-5k Employees (India)
Monte Carlo,4.2,(294 Reviews),Public,"San Francisco,California + 53 more",38 years old,201-500 Employees (India)
CtrlS,3.7,(415 Reviews),Private,Hyderabad + 11 more,15 years old,1k-5k Employees (India)
SS Supply Chain ...,4.6,(293 Reviews),Private,"Gurgaon,Haryana + 32 more",10 years old,201-500 Employees (India)
Mahanagar Gas,4.1,(293 Reviews),Public,"Mumbai,Maharashtra + 17 more",27 years old,1k-5k Employees (India)
Unimoni,3.9,(293 Reviews),Private,"Abu Dhabi,Dubai + 68 more",16 years old,1k-5k Employees (India)
Rane NSK Steerin...,3.9,(293 Reviews),Bawal + 15 more,201-500 Employees (India),,
Kirloskar Pneuma...,4.1,(292 Reviews),Public,"Pune,Maharashtra + 11 more",64 years old,501-1k Employees (India)
Vikram Solar,3.9,(292 Reviews),Private,"Kolkata,West Bengal + 21 more",16 years old,1k-5k Employees (India)
Vastu Housing Fi...,4.6,(292 Reviews),Private,"Mumbai,Maharashtra + 74 more",7 years old,1k-5k Employees (India)
Pennar Industrie...,3.7,(420 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 17 more",34 years old,1k-5k Employees (India)
NetConnectGlobal,3.7,(291 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 38 more",25 years old,1k-5k Employees (India)
Micron Electrica...,4.0,(291 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 12 more",46 years old,1k-5k Employees (India)
IIC Technologies,3.8,(291 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 14 more",28 years old,1k-5k Employees (India)
Manjushree Techn...,3.9,(291 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 14 more",39 years old,1k-5k Employees (India)
QHTalbros,3.9,(291 Reviews),Public,"Gurgaon/Gurugram,Haryana + 15 more",36 years old,5k-10k Employees (India)
B. Braun Medical,4.1,(291 Reviews),Private,"Melsungen,Hesse + 40 more",183 years old,501-1k Employees (India)
IFB,3.8,(290 Reviews),Public,"Kolkata,West Bengal + 74 more",48 years old,201-500 Employees (India)
Giesecke & Devri...,4.1,(290 Reviews),Private,Munich + 38 more,170 years old,1k-5k Employees (India)
Venky's,3.7,(290 Reviews),Public,"Pune,Maharashtra + 47 more",46 years old,5k-10k Employees (India)
SK E&C,4.4,(290 Reviews),Seoul + 37 more,45 years old,201-500 Employees (India),
Alight Solutions,3.9,(290 Reviews),Private,Lincolnshire + 9 more,26 years old,1k-5k Employees (India)
More Supermarket...,4.0,(290 Reviews),Mumbai + 62 more,15 years old,10k-50k Employees (India),
Bridgestone,4.3,(567 Reviews),Private,Tokyo + 36 more,26 years old,1k-5k Employees (India)
AT&T,4.4,(293 Reviews),Private,"Dallas,Texas + 12 more",39 years old,1k-5k Employees (India)
Veritas,4.2,(289 Reviews),Public,"Santa Clara,California + 15 more",39 years old,1k-5k Employees (India)
ITSource Technol...,3.3,(289 Reviews),Public,"Mumbai,Maharashtra + 28 more",24 years old,201-500 Employees (India)
Royal Orchid Hot...,4.1,(289 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 31 more",36 years old,5k-10k Employees (India)
Lafarge,4.1,(289 Reviews),Private,Paris + 70 more,189 years old,201-500 Employees (India)
Utility Powertec...,3.8,(289 Reviews),Private,"Noida,Uttar Pradesh + 49 more",27 years old,201-500 Employees (India)
Aramex,3.8,(289 Reviews),Private,Dubai + 48 more,40 years old,1k-5k Employees (India)
Nihilent,3.8,(289 Reviews),Private,"Pune,Maharashtra + 3 more",22 years old,501-1k Employees (India)
Rebel Foods,3.9,(289 Reviews),Private,"Mumbai,Maharashtra + 36 more",10 years old,5k-10k Employees (India)
Airports Authori...,4.4,(289 Reviews),Private,"Delhi/NCR,New Delhi + 63 more",27 years old,10k-50k Employees (India)
Ssipl Lifestyle,4.0,(289 Reviews),Private,"Delhi/NCR,Delhi + 42 more",28 years old,1k-5k Employees (India)
FCC Clutch,4.2,(289 Reviews),Hamamatsu + 16 more,83 years old,201-500 Employees (India),
HyperCITY,4.5,(288 Reviews),Private,"Mumbai,Maharashtra + 18 more",18 years old,501-1k Employees (India)
SMC Global Secur...,3.6,(288 Reviews),Public,SMC Global Securities Ltd. + 46 more,28 years old,1k-5k Employees (India)
Infor Global Sol...,4.1,(288 Reviews),Private,"New York City,New York + 5 more",20 years old,1k-5k Employees (India)
IVY Comptech,4.2,(287 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",21 years old,1k-5k Employees (India)
Indecomm Global ...,3.7,(287 Reviews),Private,"Edison,New Jersey + 9 more",19 years old,1k-5k Employees (India)
Bitwise Solution...,4.4,(287 Reviews),Private,"Schaumburg,Chicago",26 years old,501-1k Employees (India)
National Collate...,3.9,(287 Reviews),Mumbai + 63 more,18 years old,501-1k Employees (India),
RPG Life Science...,4.2,(286 Reviews),Public,"Mumbai,Maharashtra + 25 more",29 years old,1k-5k Employees (India)
CTS Consulting &...,3.9,(286 Reviews),Private,Eysines + 21 more,14 years old,201-500 Employees (India)
Wonder Cement,4.2,(286 Reviews),Private,"Ajmer,Rajasthan + 42 more",12 years old,501-1k Employees (India)
CareerNet Consul...,3.9,(286 Reviews),Private,Bangalore + 11 more,23 years old,1k-5k Employees (India)
Medicover Hospit...,3.9,(286 Reviews),"Hyderabad,Telangana + 18 more",11 years old,1k-5k Employees (India),
Carlsberg,4.1,(285 Reviews),Private,"Vesterbro,Copenhagen + 50 more",175 years old,1k-5k Employees (India)
